# cycle	transformer_strain	producer_strain	violacein_e
146.0	0.05	0.50802412062	0.0
147.0	0.05	0.5161567139	0.0
148.0	0.05	0.52441949602	0.0
149.0	0.05	0.53281455109	0.0
150.0	0.05	0.54134399656	0.0
151.0	0.05	0.5500099838	0.0
152.0	0.05	0.55881469861	0.0
153.0	0.05	0.56776036177	0.0
154.0	0.05	0.57684922963	0.0
155.0	0.05	0.58608359464	0.0
156.0	0.05	0.59546578598	0.0
157.0	0.05	0.60499817007	0.0
158.0	0.05	0.61468315126	0.0
159.0	0.05	0.62452317235	0.0
160.0	0.05	0.63452071528	0.0
161.0	0.05	0.64467830169	0.0
162.0	0.05	0.6549984936	0.0
163.0	0.05	0.66548389406	0.0
164.0	0.05	0.67613714776	0.0
165.0	0.05	0.68696094174	0.0
166.0	0.05	0.69795800607	0.0
167.0	0.05	0.70913111451	0.0
168.0	0.05	0.72048308521	0.0
169.0	0.05	0.73201678146	0.0
